,MWE,Previous,Target,Next
146,aire libre,"“BFF é o Festival de música e deportes de acción mais importante de Ferrol, onde pensamos reunir cada ano cerca de 120.000 persoas para gozar das competicións, exhibicións, concertos, gastronomía e o ambiente único que se xenera.","O Festival celébrase na praia de Doniños (Ferrol), ao aire libre e é totalmente gratuito.",Conta con concertos ao aire libre e sesións de DJs durante toda a noite que completan a programación.
147,ataque cardíaco,"Pero a inestabilidade política, e o Partido da Nai Patria fíxose cada vez máis corrupto.",Turgut Özal morreu dun ataque cardíaco en 1993 e Demirel Suleyman foi elixido presidente.,"As eleccións 1995 conduciron a unha coalición de goberno efémera entre o Partido da Nai Patria de Yilmaz e o Partido do Camiño Verdadeiro, agora con Tansu Ciller como líder."
149,aviso amarelo,"O luns manterase unha situación similar, coa cota de neve sobre os 600 metros.","Doutra banda, a AEMET activou avisos por fenómenos costeiros en boa parte do litoral, de modo que o risco importante afectará á Coruña e Lugo, mentres que Pontevedra terá aviso amarelo.",Acumulacións de ata 30 centímetros de neve en estradas de Lugo
151,banda ancha,"Durante moitos anos España, foi dos países que máis pagaban pola conexión a Rede de redes, chegando a ser o país máis caro de Europa.","O acceso a internet de banda ancha é caro e de malísima calidade na zona rural do noso concello, o que ralentiza o desenrolo da sociedade da información.","O acceso a internet debería ser considerado como un servizo universal, o que obrigaría a Administración a garantir a súa dispoñibilidade a calquera cidadán, viva onde viva."
152,banda sonora,"Setembro é o álbum debut da cantora portuguesa Leonor Andrade, lanzado o 13 de maio de 2016.","Aínda que nun principio o álbum so ía ter cancións en portugués, o segundo sinxelo do álbum, que participou na banda sonora da telenovela ""Santa Bárbara"", chamado ""Strong for Too Long"" é totalmente en inglés.","O 29 de abril do 2016 publícase a ""pre-venda"" do álbum na plataforma dixital iTunes."
153,bandeiras negras,"Alertan ademais de que este proxecto podería provocar ""a desconfiguración da orografía das rías galegas"".","Podes ver aquí, un por un, os puntos e bandeiras negras outorgadas a Galiza por Ecoloxistas en Acción (páxina 63).",É preciso que te rexistres para poder participar en Vieiros.
155,brazos abertos,É tal a viraxe dada por Colombia que o portal da prestixiosa guía de viaxes Lonely Planet o recomenda en segundo lugar como mellor país de destino para o ano 2017.,"As razóns, segundo a editorial, son unha mestura de cultura, natureza e hospitalidade vibrante entre un pobo que recibe ao visitante cos brazos abertos.","Dentro do proceso de transformación no que está inmerso, Medellín preséntase como unha cidade de certo aire “señorito” e cunha noite bastante animada."
156,burato negro,Os buratos negros estelares teñen densidades moito maiores que os supermasivos.,"Se se acumula materia a densidade nuclear (a densidade que hai no núcleo dun átomo, que é duns 1018 kg/m3; densidade que tamén se alcanza nunha estrela e neutróns), esta acumulación estará dentro do seu propio raio de Schwarzschild cunhas 3 masas solares e sería un burato negro estelar.",Unha masa pequena ten un raio de Schwarzschild extremadamente pequeno.
158,casco antigo,"Dentro da filosofía da Asociación de Veciños de Carreira de dar a coñecer o patrimonio natural e cultural de Galicia, un grupo de máis de 50 personas adicouse a visitar as terras do norte da provincia de A Coruña estes pasados días.","Visitaron lugares como o casco antigo de Pontedeume, onde coincidiron coa multitudinaria procesión do Domingo de Ramos, que alí chaman “a procesión da Borriquiña”.","As fermosas paisaxes de Cedeira foron o seguinte punto de interese da excursión, que tivo o punto álxido nun dos lugares máis lendarios de Galicia: San Andrés de Teixido."
160,centro neurálxico,"A Deputación de Ourense colabora con esta proba deportiva que transcorrerá polo municipio de Piñor a cal “permitirá gozar aos asistentes, ademais dun evento deportivo, das excelencias turísticas e gastronómicas que ofrece Piñor e a súa bisbarra”, afirmou Rosendo Fernández.","Pola súa banda, Ignacio Davila explicou o desenvolvemento da proba, que terá como “centro neurálxico” o campo de fútbol de Grobas.","Na xornada do sábado “a primeira pasada será as 12.15 horas, e posteriormente faranse dúas máis."
