,MWE,Previous,Target,Next
0,white hat,"As our tandem came alongside of the four-in-hand, with the two bonny bay mares gleaming like shot-silk in the sunshine, a murmur of admiration rose from the crowd.","My uncle, in his fawn-coloured driving-coat, with all his harness of the same tint, looked the ideal of a Corinthian whip; while Sir John Lade, with his many-caped coat, his white hat, and his rough, weather-beaten face, might have taken his seat with a line of professionals upon any ale-house bench without any one being able to pick him out as one of the wealthiest landowners in England.","It was an age of eccentricity, but he had carried his peculiarities to a length which surprised even the out- and-outers by marrying the sweetheart of a famous highwayman when the gallows had come between her and her lover."
1,white hat,"Our mares laid themselves out gallantly, and the distance between us began slowly to decrease.","I found that I could see the black band upon Sir John's white hat, then that I could count the folds of his cape; finally, that I could see the pretty features of his wife as she looked back at us.","""We're on the side road to Godstone and Warlingham,"" said my uncle."
2,white hat,"Round his middle was a canary-yellow sash, and dainty little ribbons of the same colour fluttered from the sides of his knees.","He carried a high white hat in his hand, and running down the lane which had been kept open through the crowd to allow persons to reach the ring, he threw the hat high into the air, so that it fell within the staked inclosure.",nan
3,white hat,"Some twenty well-known prize-fighters, including my friend Bill Warr, Black Richmond, Maddox, The Pride of Westminster, Tom Belcher, Paddington Jones, Tough Tom Blake, Symonds the ruffian, Tyne the tailor, and others, were stationed in the outer ring as beaters.","These fellows all wore the high white hats which were at that time much affected by the fancy, and they were armed with horse-whips, silver-mounted, and each bearing the P.C.",monogram.
4,white hat,"Even with so formidable a guard and such fierce measures, the beaters-out, who had to check the forward heaves of a maddened, straining crowd, were often as exhausted at the end of a fight as the principals themselves.","In the mean time they formed up in a line of sentinels, presenting under their row of white hats every type of fighting face, from the fresh boyish countenances of Tom Belcher, Jones, and the other younger recruits, to the scarred and mutilated visages of the veteran bruisers.","Whilst the business of the fixing of the stakes and the fastening of the ropes was going forward, I from my place of vantage could hear the talk of the crowd behind me, the front two rows of which were lying upon the grass, the next two kneeling, and the others standing in serried ranks all up the side of the gently sloping hill, so that each line could just see over the shoulders of that which was in front."
5,white hat,"The prefect seemed not to be coming, and the members of the jury felt much embarrassed, not knowing if they ought to begin the meeting or still wait.","At last at the end of the Place a large hired landau appeared, drawn by two thin horses, which a coachman in a white hat was whipping lustily.","Binet had only just time to shout, ""Present arms!"""
6,take liberties,Her mind received knowledge which had never before fallen in her way.,"By Elizabeth's instructions, she began to comprehend that a woman may take liberties with her husband which a brother will not always allow in a sister more than ten years younger than himself.","Lady Catherine was extremely indignant on the marriage of her nephew; and as she gave way to all the genuine frankness of her character in her reply to the letter which announced its arrangement, she sent him language so very abusive, especially of Elizabeth, that for some time all intercourse was at an end."
7,for a song,"Three days passed, by which time Buck and his mates found how really tired and weak they were.","Then, on the morning of the fourth day, two men from the States came along and bought them, harness and all, for a song.",The men addressed each other as “Hal” and “Charles.”
8,for a song,"I was now at a loss for a market for my goods, and especially for my two pieces of silk.","I was very loth to dispose of them for a trifle, as the poor unhappy thieves in general do, who, after they have ventured their lives for perhaps a thing of value, are fain to sell it for a song when they have done; but I was resolved I would not do thus, whatever shift I made, unless I was driven to the last extremity.","However, I did not well know what course to take."
9,take it from me,"Are you too proud to accept it, young gentleman?""","""No, sir,"" said d’Artagnan; ""and I will guard it so carefully that I will be sworn it shall arrive at its address, and woe be to him who shall attempt to take it from me!""","M de Treville smiled at this flourish; and leaving his young man compatriot in the embrasure of the window, where they had talked together, he seated himself at a table in order to write the promised letter of recommendation."
10,take it from me,"""I dare say not.","I always thought him sane enough until to-day, but you can take it from me that either he or I ought to be in a strait-jacket.","What's the matter with me, anyhow?"
11,take it from me,"""I dare say not.","I always thought him sane enough until to-day, but you can take it from me that either he or I ought to be in a strait-jacket.","What's the matter with me, anyhow?"
12,take it from me,"Are you too proud to accept it, young gentleman?""","""No, sir,"" said d’Artagnan; ""and I will guard it so carefully that I will be sworn it shall arrive at its address, and woe be to him who shall attempt to take it from me!""","M de Treville smiled at this flourish; and leaving his young man compatriot in the embrasure of the window, where they had talked together, he seated himself at a table in order to write the promised letter of recommendation."
13,take it from me,"Are you too proud to accept it, young gentleman?""","""No, sir,"" said d'Artagnan; ""I will guard it so carefully that I will be sworn it shall arrive at its address, and woe be to him who shall attempt to take it from me!""","M. de Treville smiled at this flourish; and leaving his young man compatriot in the embrasure of the window, where they had talked together, he seated himself at a table in order to write the promised letter of recommendation."
